isco_code,title,definition,tasks,major_code,major_group,prompt_text
74,Electrical and Electronics Trades Workers,"Electrical and electronics trades workers install, fit and maintain electrical wiring systems and machinery and other electrical apparatus, electrical transmission and supply lines and cables, and electronic and telecommunications equipment and systems. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products. The tasks call for an understanding of the work organisation, the materials and tools used, and the nature and purpose of the final product.","Tasks performed by workers in this sub-major group usually include: installing, maintaining, fitting and adjusting electrical and electronic wiring systems, machinery and equipment; examining blueprints, wiring diagrams and specifications to determine sequences and methods of operation; inspecting and testing electrical and electronic systems, equipment, cables and machinery to identify hazards, defects, and the need for adjustment or repair; installing, maintaining and repairing electrical and telecommunications transmission lines; joining electrical, telecommunications and data cables; maintaining, troubleshooting, fitting, adjusting, testing and repairing electronic equipment such as commercial and office machines and electronic instruments and control systems, computers, telecommunications and data transmission equipment.",7,Craft and Related Trades Workers,"Major group:
Craft and Related Trades Workers

Sub-major group:
Electrical and Electronics Trades Workers

Definition:
Electrical and electronics trades workers install, fit and maintain electrical wiring systems and machinery and other electrical apparatus, electrical transmission and supply lines and cables, and electronic and telecommunications equipment and systems. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products. The tasks call for an understanding of the work organisation, the materials and tools used, and the nature and purpose of the final product.

Tasks include:
Tasks performed by workers in this sub-major group usually include: installing, maintaining, fitting and adjusting electrical and electronic wiring systems, machinery and equipment; examining blueprints, wiring diagrams and specifications to determine sequences and methods of operation; inspecting and testing electrical and electronic systems, equipment, cables and machinery to identify hazards, defects, and the need for adjustment or repair; installing, maintaining and repairing electrical and telecommunications transmission lines; joining electrical, telecommunications and data cables; maintaining, troubleshooting, fitting, adjusting, testing and repairing electronic equipment such as commercial and office machines and electronic instruments and control systems, computers, telecommunications and data transmission equipment."
75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Food processing, woodworking, garment and other craft and related trades workers treat and process agricultural and fisheries raw materials into food and other products, and produce and repair goods made of wood, textiles, fur, leather or other materials. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products.  The tasks call for an understanding of the work organization, the materials and tools used, and the nature and purpose of the final product.","Tasks performed by workers in this sub-major group usually include: treating and processing meat, fish, grain, fruit, vegetables and related materials into food stuffs, and tobacco into tobacco products; tasting and grading food products and beverages; treating and processing natural fibres, skins and hides; making and repairing furniture and other goods made of wood; preparing hides, skins and pelts for further use; making and repairing textiles, garments, hats, shoes and related products. Supervision of other workers may be included.",7,Craft and Related Trades Workers,"Major group:
Craft and Related Trades Workers

Sub-major group:
Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers

Definition:
Food processing, woodworking, garment and other craft and related trades workers treat and process agricultural and fisheries raw materials into food and other products, and produce and repair goods made of wood, textiles, fur, leather or other materials. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products.  The tasks call for an understanding of the work organization, the materials and tools used, and the nature and purpose of the final product.

Tasks include:
Tasks performed by workers in this sub-major group usually include: treating and processing meat, fish, grain, fruit, vegetables and related materials into food stuffs, and tobacco into tobacco products; tasting and grading food products and beverages; treating and processing natural fibres, skins and hides; making and repairing furniture and other goods made of wood; preparing hides, skins and pelts for further use; making and repairing textiles, garments, hats, shoes and related products. Supervision of other workers may be included."
81,Stationary Plant and Machine Operators,"Stationary plant and machine operators monitor and operate stationary industrial plant, machinery and equipment, or for which mobility is not an integral part of operation. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work mainly calls for experience with and an understanding of the industrial plant, machinery or equipment being operated and monitored. Ability to cope with machine-paced operations and to adapt to innovations in machinery and  equipment is often required.","Tasks performed by workers in this sub-major group usually include: setting up, operating and monitoring a variety of stationary plant and machinery; detecting malfunctions and taking corrective action; examining outputs for defects and conformity to specifications and adjusting machine settings accordingly; performing maintenance, repairs and cleaning; recording data and maintaining production records. Supervision of other workers may be included.",8,"Plant and Machine Operators, and Assemblers","Major group:
Plant and Machine Operators, and Assemblers

Sub-major group:
Stationary Plant and Machine Operators

Definition:
Stationary plant and machine operators monitor and operate stationary industrial plant, machinery and equipment, or for which mobility is not an integral part of operation. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work mainly calls for experience with and an understanding of the industrial plant, machinery or equipment being operated and monitored. Ability to cope with machine-paced operations and to adapt to innovations in machinery and  equipment is often required.

Tasks include:
Tasks performed by workers in this sub-major group usually include: setting up, operating and monitoring a variety of stationary plant and machinery; detecting malfunctions and taking corrective action; examining outputs for defects and conformity to specifications and adjusting machine settings accordingly; performing maintenance, repairs and cleaning; recording data and maintaining production records. Supervision of other workers may be included."
82,Assemblers,"Assemblers assemble prefabricated parts or components to form subassemblies, products and equipment, according to procedures strictly laid down. The products worked on may be moved from one worker to the next along assembly lines. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include: assembling components into various types of products and equipment, according to strictly laid down procedures; reviewing work orders, specifications, diagrams and drawings to determine materials needed and assembly instructions; recording production and operational data on specified forms; inspecting and testing completed components and assemblies, wiring installations and circuits; rejecting faulty assemblies and components.",8,"Plant and Machine Operators, and Assemblers","Major group:
Plant and Machine Operators, and Assemblers

Sub-major group:
Assemblers

Definition:
Assemblers assemble prefabricated parts or components to form subassemblies, products and equipment, according to procedures strictly laid down. The products worked on may be moved from one worker to the next along assembly lines. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: assembling components into various types of products and equipment, according to strictly laid down procedures; reviewing work orders, specifications, diagrams and drawings to determine materials needed and assembly instructions; recording production and operational data on specified forms; inspecting and testing completed components and assemblies, wiring installations and circuits; rejecting faulty assemblies and components."
83,Drivers and Mobile Plant Operators,"Drivers and mobile plant operators drive and tend trains and motor vehicles, or drive, operate and monitor industrial and agricultural machinery and equipment, or execute deck duties on board ship and other water-borne craft. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.","Tasks performed by workers in this sub-major group usually include: driving and tending trains and motor vehicles; driving, operating and monitoring mobile industrial and agricultural machinery and equipment; carrying out deck duties on board ship and other water-borne craft.",8,"Plant and Machine Operators, and Assemblers","Major group:
Plant and Machine Operators, and Assemblers

Sub-major group:
Drivers and Mobile Plant Operators

Definition:
Drivers and mobile plant operators drive and tend trains and motor vehicles, or drive, operate and monitor industrial and agricultural machinery and equipment, or execute deck duties on board ship and other water-borne craft. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: driving and tending trains and motor vehicles; driving, operating and monitoring mobile industrial and agricultural machinery and equipment; carrying out deck duties on board ship and other water-borne craft."
91,Cleaners and Helpers,"Cleaners and helpers perform various tasks in private households, hotels, offices, hospitals and other establishments, as well as in aircraft, trains coaches, trams and similar vehicles, in order to keep the interiors and fixtures clean, and launder and press garments and textiles by hand. Most occupations in this sub-major group require skills at the first ISCO skill level.",Tasks performed by workers in this sub-major group usually include: sweeping or vacuum cleaning; washing and polishing floors; furniture and other objects; taking care of linen and bed-making; helping with preparation of meals and cleaning in kitchens; washing and cleaning cars and windows; pressing or laundering garments and textiles by hand.,9,Elementary Occupations,"Major group:
Elementary Occupations

Sub-major group:
Cleaners and Helpers

Definition:
Cleaners and helpers perform various tasks in private households, hotels, offices, hospitals and other establishments, as well as in aircraft, trains coaches, trams and similar vehicles, in order to keep the interiors and fixtures clean, and launder and press garments and textiles by hand. Most occupations in this sub-major group require skills at the first ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: sweeping or vacuum cleaning; washing and polishing floors; furniture and other objects; taking care of linen and bed-making; helping with preparation of meals and cleaning in kitchens; washing and cleaning cars and windows; pressing or laundering garments and textiles by hand."
92,"Agricultural, Forestry and Fishery Labourers","Agricultural, forestry and fishery labourers perform simple and routine tasks in the production of crops and livestock, cultivation and maintenance of gardens and parks, exploitation and conservation of forests, and conduct of aquaculture and fisheries operations. Most occupations in this sub-major group require skills at the first ISCO skill level.","Tasks performed by workers in this sub-major group usually include: digging, raking and shovelling using hand tools; loading unloading and stacking supplies, produce and other materials; watering, thinning, weeding and tending crops by hand or using hand tools; planting, harvesting picking and collecting produce by hand; feeding, watering, and cleaning animals and keeping their quarters clean; monitoring livestock, reporting on their condition; preparing and operating nets, lines and other fishing tackle and deck equipment; grading, sorting, bunching and packing produce into containers; performing minor repairs on fixtures, buildings, equipment, vessels and fences.",9,Elementary Occupations,"Major group:
Elementary Occupations

Sub-major group:
Agricultural, Forestry and Fishery Labourers

Definition:
Agricultural, forestry and fishery labourers perform simple and routine tasks in the production of crops and livestock, cultivation and maintenance of gardens and parks, exploitation and conservation of forests, and conduct of aquaculture and fisheries operations. Most occupations in this sub-major group require skills at the first ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: digging, raking and shovelling using hand tools; loading unloading and stacking supplies, produce and other materials; watering, thinning, weeding and tending crops by hand or using hand tools; planting, harvesting picking and collecting produce by hand; feeding, watering, and cleaning animals and keeping their quarters clean; monitoring livestock, reporting on their condition; preparing and operating nets, lines and other fishing tackle and deck equipment; grading, sorting, bunching and packing produce into containers; performing minor repairs on fixtures, buildings, equipment, vessels and fences."
93,"Labourers in Mining, Construction, Manufacturing and Transport","Labourers in mining, construction, manufacturing and transport perform simple and routine manual tasks in mining, quarrying, civil engineering, building, manufacturing, transport and storage operations, and operate human-powered and animal-drawn vehicles and machinery. Most occupations in this sub-major group require skills at the first ISCO skill level.","Task performed by workers in this sub-major group usually include: digging holes and spreading excavated materials, sand, soil, and gravel using hand-held tools; sorting, loading, unloading, moving stacking and storing materials, equipment, products, supplies, baggage and cargo by hand; cleaning machinery, equipment, tools and work sites; packing and unpacking material and products and filling containers and shelves with products by hand; operating human-powered and animal-drawn vehicles and machinery",9,Elementary Occupations,"Major group:
Elementary Occupations

Sub-major group:
Labourers in Mining, Construction, Manufacturing and Transport

Definition:
Labourers in mining, construction, manufacturing and transport perform simple and routine manual tasks in mining, quarrying, civil engineering, building, manufacturing, transport and storage operations, and operate human-powered and animal-drawn vehicles and machinery. Most occupations in this sub-major group require skills at the first ISCO skill level.

Tasks include:
Task performed by workers in this sub-major group usually include: digging holes and spreading excavated materials, sand, soil, and gravel using hand-held tools; sorting, loading, unloading, moving stacking and storing materials, equipment, products, supplies, baggage and cargo by hand; cleaning machinery, equipment, tools and work sites; packing and unpacking material and products and filling containers and shelves with products by hand; operating human-powered and animal-drawn vehicles and machinery"
94,Food Preparation Assistants,"Food preparation assistants prepare and cook to order a small variety of pre-cooked food or beverages, clear tables, clean kitchen areas and wash dishes. Most occupations in this sub-major group require skills at the first ISCO skill level.","Tasks performed by workers in this sub- major group usually include: preparing simple or pre-prepared foods and beverages such as sandwiches, pizzas, fish and chips, salads and coffee; washing, cutting, measuring and mixing foods for cooking; operating cooking equipment such as grills, microwaves and deep-fat fryers; cleaning kitchens, food preparation areas and service areas; cleaning cooking and general utensils used in kitchens and restaurants.",9,Elementary Occupations,"Major group:
Elementary Occupations

Sub-major group:
Food Preparation Assistants

Definition:
Food preparation assistants prepare and cook to order a small variety of pre-cooked food or beverages, clear tables, clean kitchen areas and wash dishes. Most occupations in this sub-major group require skills at the first ISCO skill level.

Tasks include:
Tasks performed by workers in this sub- major group usually include: preparing simple or pre-prepared foods and beverages such as sandwiches, pizzas, fish and chips, salads and coffee; washing, cutting, measuring and mixing foods for cooking; operating cooking equipment such as grills, microwaves and deep-fat fryers; cleaning kitchens, food preparation areas and service areas; cleaning cooking and general utensils used in kitchens and restaurants."
95,Street and Related Sales and Service Workers,"Street and related sales and service workers sell goods (excluding food) for immediate consumptions, and provide a variety of services on streets and in other public places such as stations. Most occupations in this sub-major group require skills at the first ISCO skill level.",Tasks performed by workers in this sub-major group usually include: buying or making various items for sale; loading and unloading items for sale and transporting them; obtaining the materials necessary to perform services; approaching people on the street to offer goods or services; cleaning and polishing shoes; cleaning and polishing car windows; running errands; assisting drivers to find a parking place and ensuring car is not damaged during driver’s absence; handing out leaflets and free newspapers; receiving immediate payment.,9,Elementary Occupations,"Major group:
Elementary Occupations

Sub-major group:
Street and Related Sales and Service Workers

Definition:
Street and related sales and service workers sell goods (excluding food) for immediate consumptions, and provide a variety of services on streets and in other public places such as stations. Most occupations in this sub-major group require skills at the first ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include: buying or making various items for sale; loading and unloading items for sale and transporting them; obtaining the materials necessary to perform services; approaching people on the street to offer goods or services; cleaning and polishing shoes; cleaning and polishing car windows; running errands; assisting drivers to find a parking place and ensuring car is not damaged during driver’s absence; handing out leaflets and free newspapers; receiving immediate payment."
96,Refuse Workers and Other Elementary Workers,"Refuse workers and other elementary workers collect, process and recycle garbage from buildings, yards, streets and other public places. They keep streets and other public places clean and tidy, deliver and carry messages and packages and perform odd jobs for private households or establishments. Most occupations in this sub-major group require skills at the first ISCO skill level.","Tasks performed by workers in this sub-major group usually include:  collecting, loading and unloading garbage; sweeping streets, parks and other public places; chopping firewood; collecting and carrying firewood, water, packages, luggage and messages; beating dust out of carpets and performing other odd-job tasks.",9,Elementary Occupations,"Major group:
Elementary Occupations

Sub-major group:
Refuse Workers and Other Elementary Workers

Definition:
Refuse workers and other elementary workers collect, process and recycle garbage from buildings, yards, streets and other public places. They keep streets and other public places clean and tidy, deliver and carry messages and packages and perform odd jobs for private households or establishments. Most occupations in this sub-major group require skills at the first ISCO skill level.

Tasks include:
Tasks performed by workers in this sub-major group usually include:  collecting, loading and unloading garbage; sweeping streets, parks and other public places; chopping firewood; collecting and carrying firewood, water, packages, luggage and messages; beating dust out of carpets and performing other odd-job tasks."
01,Commissioned Armed forces Officers,Commissioned armed forces officers provide leadership and management to organizational units in the armed forces and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces. This group includes all members of the armed forces holding the rank of second lieutenant (or equivalent) or higher. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.,,0,Armed Forces Occupations,"Major group:
Armed Forces Occupations

Sub-major group:
Commissioned Armed forces Officers

Definition:
Commissioned armed forces officers provide leadership and management to organizational units in the armed forces and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces. This group includes all members of the armed forces holding the rank of second lieutenant (or equivalent) or higher. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.

Tasks include:
"
02,Non-commissioned Armed Forces Officers,"Non-commissioned armed forces officers enforce military discipline and supervise the activities of those employed in Sub-major Group 03: Armed Forces Occupations, Other Ranks, and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces. This group includes members of the armed forces holding ranks such as sergeant, warrant officer and sergeant major. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",,0,Armed Forces Occupations,"Major group:
Armed Forces Occupations

Sub-major group:
Non-commissioned Armed Forces Officers

Definition:
Non-commissioned armed forces officers enforce military discipline and supervise the activities of those employed in Sub-major Group 03: Armed Forces Occupations, Other Ranks, and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces. This group includes members of the armed forces holding ranks such as sergeant, warrant officer and sergeant major. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

Tasks include:
"
03,"Armed Forces Occupations, Other Ranks","Armed forces occupations, other ranks include all conscripted and non-conscripted members of the armed forces except commissioned and non-commissioned officers. They perform specific military tasks and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces. Most occupations in this sub-major group require skills at the first ISCO skill level.",,0,Armed Forces Occupations,"Major group:
Armed Forces Occupations

Sub-major group:
Armed Forces Occupations, Other Ranks

Definition:
Armed forces occupations, other ranks include all conscripted and non-conscripted members of the armed forces except commissioned and non-commissioned officers. They perform specific military tasks and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces. Most occupations in this sub-major group require skills at the first ISCO skill level.

Tasks include:
"
